datakey,unit_id,cluster_gmm
dynamic28188-19-9-Fluorescence-7b721b-v4a,9,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,44,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,64,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,65,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,84,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,104,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,154,47
dynamic28188-19-9-Fluorescence-7b721b-v4a,167,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,216,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,221,21
dynamic28188-19-9-Fluorescence-7b721b-v4a,240,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,254,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,256,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,263,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,286,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,287,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,296,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,298,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,435,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,567,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,571,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,642,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,643,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,677,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,678,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,679,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,689,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,690,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,693,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,698,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,738,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,741,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,749,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,761,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,767,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,768,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,800,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,803,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,852,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,856,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,900,35
dynamic28188-19-9-Fluorescence-7b721b-v4a,925,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,926,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,939,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,948,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,973,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1000,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1001,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1005,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1007,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1009,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1010,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1011,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1012,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1014,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1026,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,1029,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1030,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1105,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1112,47
dynamic28188-19-9-Fluorescence-7b721b-v4a,1138,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,1160,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1162,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1173,32
dynamic28188-19-9-Fluorescence-7b721b-v4a,1201,43
dynamic28188-19-9-Fluorescence-7b721b-v4a,1227,43
dynamic28188-19-9-Fluorescence-7b721b-v4a,1241,48
dynamic28188-19-9-Fluorescence-7b721b-v4a,1282,49
dynamic28188-19-9-Fluorescence-7b721b-v4a,1375,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,1415,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1498,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1537,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1549,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1584,17
dynamic28188-19-9-Fluorescence-7b721b-v4a,1587,31
dynamic28188-19-9-Fluorescence-7b721b-v4a,1621,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1622,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1623,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1661,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1704,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1707,27
dynamic28188-19-9-Fluorescence-7b721b-v4a,1717,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1718,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1720,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1725,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1726,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1730,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1731,10
dynamic28188-19-9-Fluorescence-7b721b-v4a,1739,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1742,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1779,33
dynamic28188-19-9-Fluorescence-7b721b-v4a,1781,10
